is_luxury,price,square_footage,num_bathrooms,num_bedrooms,backyard_space,crime_rate,school_rating,age_of_home,distance_to_city_center,employment_rate,property_tax_rate,renovation_quality,local_amenities,transport_access,fireplace,house_color,garage,floors,windows,previous_sale_price
No,194451.5922,691.89,1.016691422,2,569.96,43.26,6.49,54.11,25.93,98.27,1.37,4.74,4.29,4.6,No,Green,No,1,2,180119.4986
No,158157.9756,1120.08,2.350677951,2,980.87,49.98,3.55,18.34,10.21,99.9,1.94,3.51,9.09,5.45,No,White,No,1,14,92154.62183
No,110465.3245,550,1,5,757.75,24.83,7.71,74.56,12.18,96.38,0.35,5.13,6.22,6.26,No,Red,Yes,1,16,23568.32037
No,137586.1798,616.33,1,3,705.33,11.24,4.76,24.69,29.21,95.34,1.16,4.84,6.17,5.29,No,Green,No,1,16,100909.5214
No,166647.5865,550,1,3,272.3,27.42,4.44,7.61,9.93,92.87,2.27,3.76,7.98,3.28,No,Yellow,Yes,1,16,85251.07949
No,208855.8316,1060.69,2.635554385,2,383.62,65.99,8.79,24.69,8.8,85,1.41,2.5,5.97,7.44,No,Red,Yes,1,19,242828.0648
No,94945.29121,550,1,3,934.49,18.12,3.52,38.92,34.32,90.02,1.29,0.78,10,8.05,No,Red,Yes,1,2,-850.6548876
No,205562.6791,747.49,1.418893522,3,1166.44,26.54,7.83,21.61,13.38,95.46,1.78,5.32,5.26,5.3,No,Green,No,1,15,176512.8657
No,144202.7392,554.35,1.076686559,3,198.32,31.51,6.56,80.3,8.17,85.1,1.34,4.28,7.04,4.82,No,Green,Yes,1,9,47422.38379
No,272324.5752,1408.19,1.430931531,2,559.88,17.19,5.76,35.65,5.99,87.61,0.24,3.52,1.8,6.1,No,Blue,No,1,12,228576.1636
No,202084.3426,732.5,1.626907461,3,149.54,18.9,6.6,41.2,27.82,72.05,1.49,4.61,2.7,5.4,No,White,No,2,21,138102.8122
No,250155.1266,583.25,3.852464259,1,503.48,34.81,6.63,24.36,26,96.16,1.89,4.47,6.5,4.65,No,Blue,No,1,16,124303.9335
No,215120.723,550,3.447562831,2,604.13,9.3,5.59,18.49,21.06,92.7,1.51,5.1,6.74,7.78,No,Red,Yes,1,21,251942.6485
No,160019.0332,721.17,1.439066744,4,209.36,73.48,5.39,11.6,11.94,96.98,1.32,3.73,7.55,4.77,No,Green,No,2,19,106659.6535
No,105444.823,755.33,1.410790541,3,645.2,41.03,7.33,118.89,25.81,91.78,2.14,2.23,2.17,3.02,Yes,White,No,1,20,1043.931448
No,159738.251,550,2.344320127,3,846.59,39.09,6.84,105.21,16.57,96.5,1.6,3.21,5.69,5.39,No,Green,Yes,1,23,100023.1061
No,266242.4441,550,3.276958827,4,402,30.64,3.26,10.23,7.41,90.59,2.03,4.22,5.11,4.8,No,Green,No,1,3,235030.3987
No,95866.28932,550,1.969044145,3,730.12,47.64,3.51,80.17,39.09,92.23,1.52,3.21,4.24,8.74,Yes,Red,Yes,1,13,-2159.199171
No,194319.3127,1059.87,1.847018668,2,839.43,16.47,4.71,42.99,22.79,86.82,1.41,4.31,3.74,5.73,No,White,Yes,1,18,179158.7843
No,129436.3972,854.32,1,3,87.62,18.81,4.98,122.77,27.28,92.06,1.79,2.35,3.63,7.06,Yes,White,No,2,45,18275.2928
No,238708.4293,748.96,1,3,488.79,18,5.72,71.87,10.13,88.03,1.95,6.02,9.7,4.01,Yes,Red,Yes,2,29,138998.9321
No,184681.2764,666.73,2.367301824,2,658.54,30.58,4.24,28.32,21.11,92.79,2.02,4.35,9.26,8.65,No,White,Yes,1,13,128237.968
No,244185.9054,757.7,2.438445708,2,314.53,20.76,9.81,56.33,7.18,99.47,1.37,4.15,4.63,4.78,No,Green,Yes,2,40,154916.1763
No,105922.2442,550,1,3,576.18,50.25,5.63,1.6,18.78,91.75,1.86,1.27,6.83,5.66,No,Blue,No,2,11,381.1989165
No,203564.234,550,2.766672323,2,382.59,25.47,7.55,115.79,24.57,93.9,1.72,3.47,8.45,9.46,Yes,Blue,No,2,29,215962.4519
No,196234.218,1423.83,2.126659257,1,62.69,35.01,6.37,64.17,28.83,97.52,1.37,3.42,4.43,7.05,No,Red,No,1,15,185449.727
No,265916.5792,1608.13,1,4,751.05,33.09,5.65,37.3,7.78,97.45,1.22,5.52,6.77,5.52,No,Yellow,Yes,2,42,281459.367
No,100868.9766,550,1.887114507,2,1101.84,8.17,6.92,20.42,9.71,97.61,1.07,5.38,9.74,5.44,No,Blue,No,1,16,4456.296767
No,133676.534,862.01,1.7582353020000001,2,249.1,0.3,8.7,33.68,4.06,87.54,1.23,5.96,6.21,5.3,No,Green,No,1,16,87417.61365
No,133765.0137,550,1.107970784,5,244.84,44.41,9.15,42.51,9.59,87.68,2.05,7.13,0.42,2.25,No,Blue,Yes,1,26,68329.73167
No,139014.6639,1135.53,1,3,638.61,39.12,8.08,21.53,28.42,93.83,1.13,3.91,3.79,5.77,No,Blue,No,1,18,90044.63194
No,167546.7668,826.35,1,2,667.2,13.62,6.84,52.03,9.4,91.92,0.42,4.99,0.12,5.12,No,Red,No,2,18,160419.296
No,260609.8094,1161.75,1.464104387,4,927.64,16.95,10,101.8,8.48,89.06,1.09,4.65,2.29,5.76,No,Blue,No,2,22,387123.6983
No,177443.8225,636.83,2.224104889,3,195.19,1.6,7.65,21.26,25.34,94.62,1.94,6.28,4.35,7.39,No,Yellow,No,1,14,267340.8848
No,213944.3293,1281,1.026502113,2,12.43,18.25,5.64,18.85,11.84,94.81,1.49,3.05,6.22,7.54,Yes,Red,No,1,10,151408.9427
No,208975.1804,550,1,3,68.17,63.39,4.12,46.67,3.82,85.23,1.82,3.23,6.63,7.72,No,Yellow,No,1,16,175721.8305
No,192613.5071,550,1.502869262,2,349.55,39.72,4.56,107.8,21.23,92.7,1.51,5.93,6.95,8.36,No,White,Yes,1,23,129518.3305
No,210429.3823,1113.68,1.655995692,3,911.15,7.55,10,74.51,16.44,87.11,1.01,7.8,3.89,3.93,Yes,Green,No,2,38,313352.88
No,160474.9654,550,2.512785685,3,527.12,22.66,6.29,14.44,47.86,96.2,1.25,4.34,2.45,5.1,No,Red,Yes,1,14,159308.6831
No,138420.4848,852.25,1,2,522.58,83.85,3.93,149.93,22.48,89.69,1.66,5.26,7.6,4.31,No,White,Yes,1,19,29838.92482
No,198341.7797,916.71,1.389641144,3,579.87,28.83,4.29,27.64,8.22,83.99,1.95,3.33,1.44,4.74,No,Green,No,1,18,151737.7956
No,232632.9085,1156.67,1.930554319,3,484.04,30.35,7.04,60.91,14.63,99.9,1.14,2.17,3.12,4.2,No,White,No,2,25,373250.4189
No,240397.6212,1420.65,3.002882093,2,897,25.05,8.02,125.22,0.55,99.9,1.57,5.41,7.22,7.87,No,Red,Yes,1,13,292933.0497
No,136734.5207,806.38,1.192640201,3,833.94,15.79,3.63,93.14,37.27,89.26,1.33,3.31,5.88,3.69,Yes,Green,Yes,1,13,169236.9098
No,111387.8426,550,2.322188274,2,406.06,28.88,5.19,54.2,20.71,96.16,1.3,3.94,4.65,2.85,No,Yellow,Yes,2,25,40438.92549
No,237259.4408,853.71,1,1,319.26,42.17,2.78,37.3,17.74,96.17,0.83,1.46,5.1,5.17,No,Green,No,1,13,151186.7165
No,135171.2247,946.9,1.165890982,3,596.87,25.8,6.08,120.73,26.67,97.35,1.82,1.35,5.44,5.06,Yes,Yellow,Yes,2,28,38906.053140000004
No,194915.0189,1030.3,1.548419507,3,248.55,28.43,5.41,50.32,1.85,98.05,1.96,1.02,5.83,5.79,No,White,Yes,1,12,140904.0933
No,232398.5723,550,2.217590745,4,65.08,42.04,5.86,116.05,20,86.07,1.57,1.47,7.12,7.31,No,White,No,1,12,183307.6768
No,192170.6232,550,1,1,716.74,17.56,3.36,71.11,21.42,84.46,1.5,2.2,8.13,6.16,No,Yellow,Yes,1,8,184556.5177
No,256531.8918,1065.11,3.574403809,4,950.21,37.43,6.85,77.58,18.98,91.82,1.58,6.38,8.57,8.38,Yes,Yellow,No,1,13,419170.9819
No,136881.3897,550,1.686046962,3,140.94,24.9,7.52,31.11,24.4,95.55,1.73,4.98,5.01,4.66,No,Blue,No,1,7,44002.73589
No,218063.4859,550,1.699870206,2,433.46,42.42,5.69,59.29,44.73,97.08,1.93,1.17,1.62,3.48,No,Blue,Yes,1,13,132360.3442
No,211073.3862,1133.6,2.093666497,3,396.68,46.01,5.12,63.23,25.22,93.79,1.05,3.41,2.46,5.63,No,Red,Yes,1,8,262243.3169
No,155738.7254,550,1.766305313,4,434.12,72.52,7.95,73.42,39.25,99.9,1.17,3.95,4.2,4.87,No,Yellow,No,1,23,107219.9294
No,253793.309,786.83,1.48678955,5,459.72,33.12,7.45,65.18,8.71,99.33,0.63,4.81,7.53,10,No,Blue,No,2,20,342677.9211
No,251669.3432,550,2.128441855,3,242.04,55.31,2.58,49.47,16.98,90.5,1.59,1.55,0.03,5.25,Yes,White,Yes,1,21,151431.0376
No,165266.5131,561.26,1,2,1131.07,34.14,4.99,103.38,21.56,96.64,2.09,1.78,3.11,4.36,Yes,Red,Yes,1,9,89907.38454
No,242474.8316,1054.14,1.8262287,2,308.78,44.33,8.16,46.52,22.4,98.67,1.46,5.07,7.51,4.06,No,Blue,Yes,1,16,285593.5007
No,270178.5985,579.98,1,3,540.09,18.15,4.23,6.39,14.08,94.43,2.03,2.34,4.53,5.95,No,Red,Yes,1,13,152352.5201
No,257273.9223,924.7,1,4,918.36,34.02,8.07,82.47,1.9,88.95,1.6,3.47,5.94,7.09,Yes,White,No,1,17,187464.9641
No,142639.1425,908.42,1,3,14.54,48.12,7.15,51.58,27.84,92.13,1.58,3.63,5.6,3.08,No,Red,No,1,18,77579.26262
No,181909.8306,550,1.459498305,2,956.66,28.22,4.92,18.07,1.2,99.9,1.99,1.41,6.3,7.12,No,Red,No,1,20,146499.1281
No,234433.7794,725.74,1,3,710.46,23.4,6.55,42.88,3.28,95.48,1.17,5.18,1.62,3.49,No,Blue,No,1,15,156556.7193
No,218544.2298,795.13,1.303982161,3,1110.65,46.56,6.55,35.57,11.55,92.9,1.87,5.19,5.27,6.25,No,Blue,Yes,2,16,168800.3902
No,268744.0295,550,2.259703602,4,473.24,43,5.64,47.87,13.28,92.19,1.36,5.21,4.23,5.72,Yes,Blue,No,1,11,315535.8507
No,108490.1181,550,2.150576681,1,464.48,17.37,6.05,58.57,9.18,96.32,0.75,2.36,5.45,6.64,Yes,Blue,No,2,51,31465.79415
No,269316.6177,620.25,2.754721278,3,387.32,5.02,8.27,9.51,20.1,92.78,1.8,3.53,8.66,6.06,No,Red,No,1,14,228638.1768
No,168159.7604,802.52,1,4,631.97,24.02,10,17.9,44.87,99.9,1.31,3.41,8.62,5.8,No,Blue,Yes,1,10,222273.5201
No,273232.6509,776.93,1,1,472.79,4.44,4.11,34.78,17.72,99.9,1.93,6.11,0.97,3.6,No,Yellow,No,1,6,221796.2177
No,245992.4681,550,1.117693286,1,845.92,24.96,4.66,47.69,25.87,90.98,1.7,1.4,3.76,5.42,No,Red,No,1,6,161706.7611
No,231368.8227,1765.19,1,1,1019.86,41.8,5.98,7.49,9.99,86.42,2.04,5.84,9.81,7.21,Yes,White,No,1,15,209479.8954
No,145596.9618,550,1.964345957,3,776.89,31.33,6.65,90.6,27.33,87.16,0.99,7.15,7.26,10,No,White,No,1,12,112989.8892
No,111227.1716,607.24,1.722275429,3,516.29,19.77,7.13,42.67,24.79,89.61,1.56,5.25,2.37,3.49,No,Yellow,Yes,1,13,37158.51351
No,243314.3963,924.31,1,3,860.94,47.7,7.23,87.08,0.22,91.73,1.27,2.23,2.28,5.88,Yes,White,No,1,13,160488.2633
No,214448.7043,909.24,1.269679965,2,432.83,44.97,4.53,29.12,11.26,96.61,1.87,5.59,3.91,4.57,No,Green,Yes,1,5,147047.6584
No,239850.3375,589.27,2.242666173,4,261.54,13.26,8.42,4.68,12.52,99.13,1.95,7.04,7.79,7.03,No,Green,No,1,0,387208.5521
No,172888.1978,550,1,3,274.41,4.6,6.99,25.09,26.43,95.17,1.55,5.61,6.2,8.1,No,White,No,1,9,112568.3776
No,139107.5279,1159.37,1.269122208,2,136.99,42.57,8.61,12,9.26,99.9,1.25,6.77,6.48,4.9,No,Yellow,No,1,7,149929.4724
No,228894.6688,1434.23,2.343958386,2,1098.97,7.96,9.04,61.85,17.43,99.9,1.33,5.21,4.51,5.88,No,White,No,1,7,257906.3357
No,256817.128,1493.56,3.05005447,3,587.84,64.1,3.94,89.79,14.7,93.37,1.86,3.94,5.84,4.82,Yes,Yellow,No,1,19,283925.4965
No,233971.9901,550,1,4,499.04,68.61,7.11,31.79,22.87,86.13,1.49,5.05,10,4.47,No,Green,Yes,1,14,227155.8673
No,190662.9313,747.84,2.384521121,2,692.21,39.76,3.11,114.59,47.56,82.72,1.42,2.29,5.64,6.58,No,Yellow,Yes,1,14,176854.7575
No,237289.5945,1343.88,3.166101289,3,1154.36,5.55,9.5,41.82,17.39,99.9,1.61,7.63,3.54,6.52,No,White,No,1,15,361421.1863
No,246222.2364,911.59,1.495811696,2,289.95,15.46,5.42,69.3,2.57,85.69,1.17,3.4,8.86,9.11,No,White,No,2,28,193927.5632
No,216365.0686,1002.01,1.940273697,4,755.42,19.42,6.24,60.79,5.38,95.83,1.99,1.75,5.28,4.98,No,Blue,No,1,11,242087.3562
No,148202.4455,550,1,2,713.41,41.03,8.82,12.94,11.16,95.58,1.71,2.33,10,5.53,No,Yellow,No,1,17,43526.97574
No,128433.5857,786.48,3.488486693,1,247.96,34.43,7.33,58.07,26.77,99.15,1.26,0.18,5.69,3.67,Yes,Yellow,No,1,9,61155.96443
No,240135.3011,1069.19,1.812709571,3,397.15,1.27,8.23,26.75,20.25,94.8,2.28,6.08,3.68,6.34,Yes,Green,Yes,1,18,239953.26
No,129802.1433,550,1.475411497,1,571.2,14.35,8.28,56.73,37.18,95.55,2.18,6.42,6.22,5.75,No,Blue,No,1,9,54711.92739
No,258971.5503,652.06,1.369922378,2,468.82,14.55,7.35,76.46,26.9,97.01,0.99,6.45,4.54,4.49,Yes,Yellow,Yes,1,14,186561.027
No,214698.3418,1005.09,2.620519967,4,570.17,35.63,8.9,10.08,19.38,99.9,1.78,4.64,6.5,3.07,No,White,Yes,1,12,204595.6187
No,113076.6212,550,1,2,111.19,17.01,1.26,26.61,27.84,95.61,2.15,3.17,2.13,5.25,No,Red,Yes,1,18,32747.97897
No,269500.4758,550,3.318284837,4,720.95,35.34,10,45.91,10.92,99.9,1.15,8.28,6.1,6.06,No,Yellow,No,1,9,286119.1079
No,173320.6069,626.39,1,4,304.24,28.35,7.64,41.71,13.39,98.33,2.08,5.32,2.11,3.9,No,Yellow,No,1,24,151235.7966
No,175046.6052,550,3.258431022,3,516.81,47.88,6.44,90.79,5.09,88.33,1.35,5.57,8.66,6.41,No,Yellow,No,1,11,161310.6784
No,157110.9364,636.04,1.032646517,3,150.3,20.56,5.68,91.23,17.58,99.9,1.99,5.25,10,10,Yes,Red,No,1,27,70039.72972
No,271626.442,1381.83,1.982966373,3,768.86,6.93,8.27,38.1,2.17,96.32,1.69,7.72,6.65,6.37,No,Red,Yes,1,15,431628.5128
No,190732.4501,1185.85,3.06422595,2,389.82,49.18,8.07,0.21,10.85,89.4,1.21,7.24,6.62,5.65,No,Red,Yes,1,9,146537.4307
No,220458.9936,901.6,1.452001866,3,628.48,25.15,8.26,19.82,15.34,99.9,0.67,6.1,4.74,5.39,No,Red,No,1,19,155406.0548
No,187420.2746,585.81,2.0188942,2,873.1,59.58,5.41,93.09,0.59,91.52,0.91,2.81,5.71,4.09,No,Yellow,Yes,2,6,134750.1853
No,117951.9489,667.26,2.218261739,1,173.38,39.11,7.45,68.14,19.03,99.15,1.69,3.39,4.67,9.04,Yes,Yellow,Yes,1,18,41238.17882
No,114505.5941,833.92,1,2,444.51,5.89,8.18,91.77,15.45,99.41,1.62,4.1,8.5,6.62,No,Red,No,1,7,30074.74031
No,223352.04,641.56,2.468336933,3,515.97,22.57,7.85,24.86,43.79,99.9,1.31,3.18,5.82,4.37,Yes,Blue,No,1,19,316166.1518
No,146268.2679,550,2.567243569,2,447.96,29.21,4.81,48.11,15.24,98.08,1.34,2.4,9.2,3.89,No,Yellow,No,1,15,89371.89663
No,138889.0292,956.85,1,2,517.38,8.61,6.14,75.24,6.85,97.72,0.81,7.62,9.49,5.41,No,Yellow,No,1,7,117395.2248
No,179111.0641,1006.58,1,2,767.78,12.09,3.26,91.85,58.91,87.91,1.26,5.47,5.28,2.77,Yes,Red,Yes,1,6,152571.5274
No,276745.1316,550,4.998606692,4,519.1,23.41,7.15,55.3,5.52,86.12,0.53,7.09,4.58,6.21,No,White,No,2,24,480559.1
No,225552.1553,550,1.300354412,2,324.23,49.83,3.94,70.19,15.66,96.02,1.76,2.49,4.62,4.95,No,White,No,1,11,371648.4558
No,122318.6077,550,1,3,628.14,10.55,4.65,59.46,14.52,88.53,1.24,0.62,7.68,4.84,No,Green,No,1,15,28432.10261
No,263783.8958,991.12,2.694417042,4,337.75,14.97,6.42,59.7,36.56,84.24,1.16,5.13,4.59,6.24,No,White,Yes,1,18,439363.528
No,141848.9918,629.97,1,3,102.9,59.2,5.54,113.3,13.36,98.05,1.12,2.48,2.37,5.21,Yes,White,No,1,16,75361.61746
No,167279.1021,1152.7,2.656206488,2,725.39,49.57,6.19,57.15,35.82,95.51,0.78,5.42,4.26,3.21,No,White,Yes,1,22,231907.9277
No,277318.8698,1821.56,1.867427472,3,478.89,41.12,8.53,38.08,2.02,93.86,1.49,7.4,9.78,6.92,No,White,No,1,12,373974.9497
No,216433.4357,782.82,1,4,741.57,18.11,7.25,74.09,18.7,92.02,1,5.7,0.79,2.6,Yes,Yellow,No,1,15,215878.5637
No,105508.9037,732.31,1.605698581,1,617.27,37.07,7.01,97.95,4.47,98.74,1.07,3.85,5.69,6.14,No,Yellow,Yes,1,15,10130.27321
No,101049.8755,1160.18,1.059622618,2,397.18,31.83,5.17,68.72,49.47,93.25,1.68,3.61,2.02,7.4,Yes,Green,No,1,14,14217.99082
No,188495.1353,1251.57,2.121843715,2,860.35,38.4,9.35,46.6,12.76,90.13,1.58,5.19,9.15,5.04,Yes,White,Yes,1,5,168781.1521
No,183644.5634,991.61,1.616237939,3,630.77,26.79,6.92,3.28,28.1,96.33,2.02,3.39,7.22,6.31,No,Red,No,1,8,100327.5164
No,144701.5746,638.03,1,3,795.57,33.65,8.44,43.74,31.42,94.1,1.91,3.28,4.85,6.63,No,White,Yes,1,7,121966.0905
No,133195.6287,550,1.503746425,3,185.79,29.97,8.27,138.4,47.85,92.38,2.45,4.72,6.35,5.39,No,Red,Yes,1,16,101077.8511
No,147432.4916,610.18,1,3,323.85,39.15,6.47,64.11,48.7,94.75,1.42,3.99,3.41,3.15,Yes,White,Yes,1,8,138455.4232
No,172426.9023,617.7,1.357642139,2,337.07,51.47,3.81,77.58,22.41,91.94,0.97,4.86,1.67,3.7,No,Green,No,1,21,94243.94994
No,125330.8811,1000.46,1,2,354.08,37.13,8.46,18.18,26.4,99.9,0.96,6.77,6.02,4.06,No,White,No,1,2,75254.66871
No,124786.2402,988.32,1.308992909,3,773.65,41.29,7.05,89.12,15,99.37,1.39,3.18,5.41,3.36,No,Red,No,1,13,62001.95613
No,111564.0417,550.7,1.554924069,4,382.35,12.08,6.22,12.73,7.55,88.78,1.92,1.29,6.69,8.14,No,Yellow,No,1,17,21940.25647
No,186836.4341,550,2.353794177,3,321.57,51.56,8.12,110.66,24.62,96.84,0.75,2.71,3.69,4.91,Yes,Green,No,1,8,63898.98939
No,215501.7223,1213.01,1.818171351,4,451.41,33.95,8.01,102.68,7.17,99.9,1.48,5.84,5.93,6.2,No,Green,No,1,13,306063.4177
No,245087.8371,1010.8,1.647701768,2,489.74,5.04,5.97,69.94,18.03,90.33,1.9,5.6,2.8,6.93,Yes,White,No,1,9,202999.5634
No,121486.5873,956.19,1,4,620.13,6.59,7.24,70.15,3.54,95.85,1.29,4.81,2.13,7.92,No,Red,No,1,9,40293.74876
No,115547.1564,550,1.977646983,2,90.87,26.54,5.32,26.72,10.95,99.26,0.88,4.78,4.77,6.13,Yes,Red,No,1,13,22034.76737
No,273277.7833,609.19,1.954840203,3,614.34,56.53,7.3,28.21,13.23,99.9,0.77,6.92,4.91,5.23,No,Blue,No,2,7,205016.2211
No,189156.7895,550,1.712805655,1,883.76,53.94,6.33,9.79,3.3,90.46,1.61,1.64,8.03,5.34,Yes,Blue,Yes,1,5,86611.44972
No,214915.6692,1571.91,1,2,151.85,17.47,5.02,80.12,8.04,93.43,1.36,4.54,0.68,3.85,Yes,Red,No,2,20,186120.6791
No,170448.1784,1067.85,1,2,429.77,19.06,5.16,30.9,5.59,95.51,1.68,6.22,10,6.49,No,White,No,1,4,172031.378
No,247148.1142,1073.95,3.209491202,3,663.46,36.18,7.35,59.85,15.17,94.52,1.07,6.17,7.08,6.2,No,White,No,1,5,330775.3341
No,116963.4581,550,2.162152172,2,399.1,17.64,7.23,56.52,17.41,99.9,1.13,4.02,10,7.24,No,Green,Yes,1,17,56196.92906
No,110450.8527,550,1.748030335,3,116.54,38.98,4.77,152.41,34.54,81.76,1.66,0.75,0.02,3.39,No,Green,Yes,2,37,13346.80843
No,150183.814,550,3.951180911,2,448.54,46.8,6.62,97.74,18.25,95.62,1.15,5.77,3.86,7.48,No,Green,No,1,7,68378.91895
No,205001.7894,550,2.949512557,2,468.29,7.65,6.49,92.63,20.29,91.38,1.21,6.82,5.54,7.85,No,Red,No,1,22,160988.9713
No,273784.2413,788.46,1.667615282,4,552.26,15.75,7.29,71.52,21.6,96.97,2.35,3.81,7.14,7.8,No,Red,No,2,44,181671.4879
No,160304.1753,748.56,1,4,861.18,46.92,8.99,52.77,35.37,93.94,1.14,4.81,10,7.06,Yes,White,No,2,28,160492.2693
No,241697.619,980.17,1.799254386,4,609.2,34.9,4.58,85.98,19.5,85.14,0.65,7.6,7.87,7.09,No,Green,No,1,18,217650.6843
No,183397.9195,550,1,3,266.9,20.45,7.07,15.94,13.91,96.25,1.65,4.67,5.96,5.56,No,White,No,1,17,170968.988
No,204115.2013,879.8,1.315377058,2,429.24,44.64,6.96,62.15,11.38,99.9,1.19,4.69,2.59,5.6,No,White,Yes,1,15,104802.2627
No,136396.0182,992.02,1,3,703.47,23.18,4.86,50.96,18.7,96.88,2.72,6.05,6.31,5.43,No,White,No,2,6,112762.2769
No,128945.4664,550,1.650099339,2,385.94,36.21,5.55,22.54,21.49,99.33,1,3.09,0.39,0.9,No,White,Yes,1,9,88964.78316
No,131922.3499,550,1.773790529,3,104.81,63.77,5.72,19.7,5.69,93.49,1.55,3.18,4.86,6.47,Yes,White,No,1,23,40861.62206
No,113517.1348,702.7,1,2,575.39,49.19,6.45,67.05,16.64,88.14,2.17,4.12,3.45,1.16,Yes,Red,No,1,17,42864.62269
No,207001.6902,735.91,1,3,8.39,17.49,2.6,41.07,34.62,93.71,1.44,2.69,1.51,3.88,No,Red,No,1,9,125583.754
No,120021.2617,550,1.422506502,4,641.16,41.81,8.73,93.13,45.79,98,1.73,4,7.62,7.99,No,Green,No,1,20,110360.0506
No,246305.3703,550,2.481263984,4,874.96,43.64,7.26,79.61,28.11,91.07,1.32,4.55,3.6,3.83,No,Green,No,1,15,126645.2457
No,273769.0828,1473.2,4.342154715,3,323.36,31.79,9,54.82,25.87,84.95,2.1,8.31,3.79,5.78,No,White,No,1,11,460532.137
No,228320.9626,765.54,3.424821523,3,65.01,39.42,8.27,44.85,32.29,88.74,1.88,5.43,10,9.92,No,Blue,No,1,22,253982.881
No,142999.6151,550,1,3,419.54,57.21,2.7,67.94,21.2,97.79,1.68,4.58,5.91,8.04,No,White,Yes,1,14,37194.15316
No,158687.2579,550,3.037275589,2,95.2,18.75,7.06,29.56,15.8,85.79,1.08,4.48,2.21,5.18,No,Blue,No,1,10,63792.0516
No,109704.9949,550,1.012337491,3,458.54,9.9,9.15,69.79,23.34,95.24,1.76,6.59,1.77,3.97,Yes,Yellow,No,2,31,12739.11552
No,131037.3002,550,1,3,113.08,18.03,6.88,72.38,28.31,93.63,1.14,3.84,5.14,5.31,Yes,Yellow,Yes,1,22,46733.01365
No,178832.3372,834.54,1.867174187,3,1030.56,12.35,5.1,18.63,40.37,95.94,1.17,4.49,2.99,8.2,No,Red,No,1,15,269936.4519
No,201344.7585,960.93,2.067019323,2,324.38,39.09,4.95,9.77,19.44,93.71,1.22,1.64,3.33,4.02,No,White,No,1,9,120729.1674
No,202571.4329,1286.47,2.110509734,2,341.25,42.57,5.03,43.89,9.41,95.35,1.03,5.31,0.21,2.82,No,Yellow,Yes,1,17,204739.2843
No,151679.9536,888.38,1.890474811,1,594.27,43.99,3.65,32.41,33.17,83.93,2.6,0.42,0.1,3.57,No,Green,No,1,25,152533.6647
No,147636.2983,824.72,2.084032692,2,202.39,50.74,8.82,94.81,29.98,83.95,1.39,4.26,7.36,3.55,No,Blue,No,1,15,65538.52797
No,98488.29438,550,2.527090512,2,859.6,38.34,5.51,17.73,0.26,99.11,1.3,4.84,5.13,7.79,No,Yellow,No,1,16,-1965.596887
No,272823.1207,550,2.572631555,4,237.74,51.63,9.86,20.72,3.18,95.76,1.54,4.96,10,4.43,Yes,Green,No,1,18,216617.924
No,161248.7798,556.89,1.033350435,2,715.67,12.97,5.55,36.6,8.29,89.99,1.68,2.88,9.45,6.94,Yes,Red,No,1,10,87166.50157
No,184261.1924,755.85,1.933425922,2,470.39,50.19,2.9,4.15,38.3,94.38,2.98,3.34,4.87,5.6,No,Blue,No,1,10,94538.71523
No,130765.982,985.17,1.010491793,2,1033.66,40.12,5.15,51.07,3.45,92.75,1.39,3.2,5.65,5.61,No,White,No,1,14,35235.58648
