ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
3225,215120.723,550,3.447562831,2,604.13,9.3,5.59,18.49,21.06,92.7,1.51,5.1,6.74,7.78,No,Red,Yes,1,21,251942.6485,0
5281,160019.0332,721.17,1.439066744,4,209.36,73.48,5.39,11.6,11.94,96.98,1.32,3.73,7.55,4.77,No,Green,No,2,19,106659.6535,0
1132,105444.823,755.33,1.410790541,3,645.2,41.03,7.33,118.89,25.81,91.78,2.14,2.23,2.17,3.02,Yes,White,No,1,20,1043.931448,0
3827,159738.251,550,2.344320127,3,846.59,39.09,6.84,105.21,16.57,96.5,1.6,3.21,5.69,5.39,No,Green,Yes,1,23,100023.1061,0
764,266242.4441,550,3.276958827,4,402,30.64,3.26,10.23,7.41,90.59,2.03,4.22,5.11,4.8,No,Green,No,1,3,235030.3987,0
5794,95866.28932,550,1.969044145,3,730.12,47.64,3.51,80.17,39.09,92.23,1.52,3.21,4.24,8.74,Yes,Red,Yes,1,13,-2159.199171,0
2304,194319.3127,1059.87,1.847018668,2,839.43,16.47,4.71,42.99,22.79,86.82,1.41,4.31,3.74,5.73,No,White,Yes,1,18,179158.7843,0
5179,129436.3972,854.32,1,3,87.62,18.81,4.98,122.77,27.28,92.06,1.79,2.35,3.63,7.06,Yes,White,No,2,45,18275.2928,0
5073,276257.7839,1179.53,2.652646511,3,242.2,30.89,7.96,105.03,18.42,94.89,1.84,3.17,9.07,3.57,No,Green,No,1,13,373278.0855,1
3626,238708.4293,748.96,1,3,488.79,18,5.72,71.87,10.13,88.03,1.95,6.02,9.7,4.01,Yes,Red,Yes,2,29,138998.9321,0
1794,184681.2764,666.73,2.367301824,2,658.54,30.58,4.24,28.32,21.11,92.79,2.02,4.35,9.26,8.65,No,White,Yes,1,13,128237.968,0
5978,180015.2789,1454.19,3.084477983,1,640.5,10.7,8.36,80.34,7.35,88.73,1.9,5.34,5.28,6.32,No,Green,No,1,12,142388.0598,0
3770,152376.5716,701.73,1.603980999,3,722.35,51.91,6.36,39.1,24.89,99.9,1.86,4.03,7.87,5.18,No,White,No,1,10,48779.107,0
2086,244185.9054,757.7,2.438445708,2,314.53,20.76,9.81,56.33,7.18,99.47,1.37,4.15,4.63,4.78,No,Green,Yes,2,40,154916.1763,0
5950,105922.2442,550,1,3,576.18,50.25,5.63,1.6,18.78,91.75,1.86,1.27,6.83,5.66,No,Blue,No,2,11,381.1989165,0
6016,203564.234,550,2.766672323,2,382.59,25.47,7.55,115.79,24.57,93.9,1.72,3.47,8.45,9.46,Yes,Blue,No,2,29,215962.4519,0
643,221064.633,732.21,2.389982559,2,102.03,0.35,6.63,20.33,19.03,91.18,1.26,3.02,3,5.53,Yes,Red,No,1,21,164179.0173,1
6416,167060.5385,735.97,1,4,144,43.21,5.99,90.38,45.42,98.31,2.02,3.53,1.57,6.18,No,White,No,1,9,143456.558,0
2463,196234.218,1423.83,2.126659257,1,62.69,35.01,6.37,64.17,28.83,97.52,1.37,3.42,4.43,7.05,No,Red,No,1,15,185449.727,0
321,237298.1737,899.53,2.985726622,3,328.43,4.05,9.92,27.81,16.74,93.74,0.62,5.61,9.12,8.23,No,Blue,No,2,50,279262.1358,1
443,265916.5792,1608.13,1,4,751.05,33.09,5.65,37.3,7.78,97.45,1.22,5.52,6.77,5.52,No,Yellow,Yes,2,42,281459.367,0
2592,204414.5727,862.32,3.684301142,1,224.59,0.17,6.17,13.28,38.71,94.91,0.98,2.85,2.7,7.75,No,Red,Yes,2,29,222800.7207,0
5253,100868.9766,550,1.887114507,2,1101.84,8.17,6.92,20.42,9.71,97.61,1.07,5.38,9.74,5.44,No,Blue,No,1,16,4456.296767,0
4262,133676.534,862.01,1.758235302,2,249.1,0.3,8.7,33.68,4.06,87.54,1.23,5.96,6.21,5.3,No,Green,No,1,16,87417.61365,0
1205,152926.0367,550,1,4,492.37,37.45,5.9,53.11,11.73,87.58,1.69,2.16,6.13,3.42,No,Yellow,No,1,13,59000.08929,0
3192,195416.5331,940.02,2.292306875,2,595.3,17.77,5.49,16.67,9.26,99.9,1.34,2.44,6.77,6.99,Yes,White,No,1,16,76085.04288,0
269,114541.7742,550,2.061927122,3,136.88,25.14,4.1,98.56,22.28,90.32,2.47,1.52,5.18,3,No,Red,No,1,15,20875.65572,0
1471,133765.0137,550,1.107970784,5,244.84,44.41,9.15,42.51,9.59,87.68,2.05,7.13,0.42,2.25,No,Blue,Yes,1,26,68329.73167,0
5823,248189.6232,989.32,1.189819741,4,525.88,21.41,7.99,50.54,30.11,89.56,1.55,3.33,0.99,0.01,No,Red,No,2,16,137862.4402,0
289,125803.2263,550,1.748838273,2,279.77,23.71,6.43,10.11,29.45,88.13,1.2,3.99,3.9,3.69,No,Yellow,No,1,15,24010.94675,0
610,139014.6639,1135.53,1,3,638.61,39.12,8.08,21.53,28.42,93.83,1.13,3.91,3.79,5.77,No,Blue,No,1,18,90044.63194,0
581,167546.7668,826.35,1,2,667.2,13.62,6.84,52.03,9.4,91.92,0.42,4.99,0.12,5.12,No,Red,No,2,18,160419.296,0
2942,260609.8094,1161.75,1.464104387,4,927.64,16.95,10,101.8,8.48,89.06,1.09,4.65,2.29,5.76,No,Blue,No,2,22,387123.6983,0
81,239822.1002,972.44,1.151764321,3,181.58,72.18,7.29,38.06,35.95,94.53,1.51,4.36,3.3,7.42,No,Blue,No,1,21,191925.6804,0
4944,177443.8225,636.83,2.224104889,3,195.19,1.6,7.65,21.26,25.34,94.62,1.94,6.28,4.35,7.39,No,Yellow,No,1,14,267340.8848,0
4289,213944.3293,1281,1.026502113,2,12.43,18.25,5.64,18.85,11.84,94.81,1.49,3.05,6.22,7.54,Yes,Red,No,1,10,151408.9427,0
652,106203.7719,736.55,1.461133734,2,458.72,33.88,9.02,48.02,7.02,91.84,1.74,5.55,10,8.33,Yes,Green,Yes,1,16,-3876.394708,0
6588,266337.8745,998.18,2.025042343,5,358.05,4.74,6.82,79.88,4.86,83.21,1.79,5.07,5.78,7.13,No,Green,No,2,19,344306.9524,0
5146,251114.3834,1487.28,1,3,160.18,15.28,7.12,64.99,9.46,95.94,1.49,6.06,8.25,5.63,No,Yellow,No,2,28,221990.5057,1
6373,208975.1804,550,1,3,68.17,63.39,4.12,46.67,3.82,85.23,1.82,3.23,6.63,7.72,No,Yellow,No,1,16,175721.8305,0
5647,192613.5071,550,1.502869262,2,349.55,39.72,4.56,107.8,21.23,92.7,1.51,5.93,6.95,8.36,No,White,Yes,1,23,129518.3305,0
5592,181103.5026,1347.17,1,4,376.98,20.52,6.27,30.51,24.99,88.96,0.64,2.67,5.99,4.39,No,Red,No,1,6,161970.1401,0
4996,210429.3823,1113.68,1.655995692,3,911.15,7.55,10,74.51,16.44,87.11,1.01,7.8,3.89,3.93,Yes,Green,No,2,38,313352.88,0
5288,160474.9654,550,2.512785685,3,527.12,22.66,6.29,14.44,47.86,96.2,1.25,4.34,2.45,5.1,No,Red,Yes,1,14,159308.6831,0
6211,138420.4848,852.25,1,2,522.58,83.85,3.93,149.93,22.48,89.69,1.66,5.26,7.6,4.31,No,White,Yes,1,19,29838.92482,0
2337,198341.7797,916.71,1.389641144,3,579.87,28.83,4.29,27.64,8.22,83.99,1.95,3.33,1.44,4.74,No,Green,No,1,18,151737.7956,0
1520,115916.9002,794.53,2.09065174,1,510.42,6.72,6.92,22.19,33.23,92.87,1.08,4.86,5.09,4.66,Yes,Green,No,1,26,40286.07127,1
6565,232632.9085,1156.67,1.930554319,3,484.04,30.35,7.04,60.91,14.63,99.9,1.14,2.17,3.12,4.2,No,White,No,2,25,373250.4189,0
765,240397.6212,1420.65,3.002882093,2,897,25.05,8.02,125.22,0.55,99.9,1.57,5.41,7.22,7.87,No,Red,Yes,1,13,292933.0497,0
6990,136734.5207,806.38,1.192640201,3,833.94,15.79,3.63,93.14,37.27,89.26,1.33,3.31,5.88,3.69,Yes,Green,Yes,1,13,169236.9098,0
4095,191467.3252,550,1.814669984,4,802.1,17.39,7.88,74.58,21.37,82,2.57,3.19,2.75,6.76,No,Blue,No,1,10,207038.5091,1
4180,111387.8426,550,2.322188274,2,406.06,28.88,5.19,54.2,20.71,96.16,1.3,3.94,4.65,2.85,No,Yellow,Yes,2,25,40438.92549,0
1049,237259.4408,853.71,1,1,319.26,42.17,2.78,37.3,17.74,96.17,0.83,1.46,5.1,5.17,No,Green,No,1,13,151186.7165,0
24,135171.2247,946.9,1.165890982,3,596.87,25.8,6.08,120.73,26.67,97.35,1.82,1.35,5.44,5.06,Yes,Yellow,Yes,2,28,38906.05314,0
4254,194915.0189,1030.3,1.548419507,3,248.55,28.43,5.41,50.32,1.85,98.05,1.96,1.02,5.83,5.79,No,White,Yes,1,12,140904.0933,0
4105,232398.5723,550,2.217590745,4,65.08,42.04,5.86,116.05,20,86.07,1.57,1.47,7.12,7.31,No,White,No,1,12,183307.6768,0
3873,192170.6232,550,1,1,716.74,17.56,3.36,71.11,21.42,84.46,1.5,2.2,8.13,6.16,No,Yellow,Yes,1,8,184556.5177,0
1523,256531.8918,1065.11,3.574403809,4,950.21,37.43,6.85,77.58,18.98,91.82,1.58,6.38,8.57,8.38,Yes,Yellow,No,1,13,419170.9819,0
4911,169536.3962,550,2.496751928,3,656.92,56.88,6.69,62.6,39.67,85.59,2.09,4.39,2.51,5.89,No,Green,Yes,1,5,110679.685,0
2637,223958.261,550,2.27419848,3,310.37,33.49,5.49,49.59,18.33,99.9,1.4,3.49,3.11,5.7,Yes,Red,No,1,8,171259.3521,0
6699,195228.6598,826.08,3.119365868,2,340.94,70.57,3.63,7.51,8.48,91.82,1.66,0.34,7.35,5.7,Yes,Blue,No,1,7,109298.8332,0
2212,136881.3897,550,1.686046962,3,140.94,24.9,7.52,31.11,24.4,95.55,1.73,4.98,5.01,4.66,No,Blue,No,1,7,44002.73589,0
5956,207362.1647,1017.03,3.680326224,2,478.38,23.05,6.78,80.57,10.37,99.9,2.71,4.46,8.72,4.62,No,Yellow,Yes,1,19,169135.407,1
1998,218063.4859,550,1.699870206,2,433.46,42.42,5.69,59.29,44.73,97.08,1.93,1.17,1.62,3.48,No,Blue,Yes,1,13,132360.3442,0
5159,211073.3862,1133.6,2.093666497,3,396.68,46.01,5.12,63.23,25.22,93.79,1.05,3.41,2.46,5.63,No,Red,Yes,1,8,262243.3169,0
6068,155738.7254,550,1.766305313,4,434.12,72.52,7.95,73.42,39.25,99.9,1.17,3.95,4.2,4.87,No,Yellow,No,1,23,107219.9294,0
4674,278794.3901,1136.23,1.88214982,4,634.95,54.97,6.07,19.17,6.92,95.79,1.72,5.6,5.85,4.8,No,Blue,No,1,7,324830.0812,0
2859,253793.309,786.83,1.48678955,5,459.72,33.12,7.45,65.18,8.71,99.33,0.63,4.81,7.53,10,No,Blue,No,2,20,342677.9211,0
6711,123287.2506,648.96,1,4,817.19,21.12,5.83,18.85,3.02,98.19,1.51,2.09,3.67,6.65,No,Red,No,1,17,18473.72053,0
1366,251669.3432,550,2.128441855,3,242.04,55.31,2.58,49.47,16.98,90.5,1.59,1.55,0.03,5.25,Yes,White,Yes,1,21,151431.0376,0
4339,165266.5131,561.26,1,2,1131.07,34.14,4.99,103.38,21.56,96.64,2.09,1.78,3.11,4.36,Yes,Red,Yes,1,9,89907.38454,0
2247,242474.8316,1054.14,1.8262287,2,308.78,44.33,8.16,46.52,22.4,98.67,1.46,5.07,7.51,4.06,No,Blue,Yes,1,16,285593.5007,0
6467,270178.5985,579.98,1,3,540.09,18.15,4.23,6.39,14.08,94.43,2.03,2.34,4.53,5.95,No,Red,Yes,1,13,152352.5201,0
2164,191733.7849,550,1.977486138,3,111.94,12.29,3.95,120.76,2.74,91.45,1.88,6.2,6.56,5.93,No,Yellow,Yes,1,9,110438.1777,0
2989,257273.9223,924.7,1,4,918.36,34.02,8.07,82.47,1.9,88.95,1.6,3.47,5.94,7.09,Yes,White,No,1,17,187464.9641,0
3904,142639.1425,908.42,1,3,14.54,48.12,7.15,51.58,27.84,92.13,1.58,3.63,5.6,3.08,No,Red,No,1,18,77579.26262,0
2977,191370.9394,997.36,1,3,1315.33,24.39,9.29,6.16,15.9,87.17,1.47,6.04,4.43,3.43,No,Green,Yes,1,15,142396.856,0
985,181909.8306,550,1.459498305,2,956.66,28.22,4.92,18.07,1.2,99.9,1.99,1.41,6.3,7.12,No,Red,No,1,20,146499.1281,0
4251,234433.7794,725.74,1,3,710.46,23.4,6.55,42.88,3.28,95.48,1.17,5.18,1.62,3.49,No,Blue,No,1,15,156556.7193,0
6123,218544.2298,795.13,1.303982161,3,1110.65,46.56,6.55,35.57,11.55,92.9,1.87,5.19,5.27,6.25,No,Blue,Yes,2,16,168800.3902,0
3865,163847.6551,550,1.191058646,3,171.47,48.97,5.62,83.77,34.55,92.42,1.94,3.81,3.41,5.68,No,White,No,1,12,142314.3466,0
3785,96863.68367,691.66,1.972219017,2,41.14,22.34,5.76,46.06,8.27,89.72,1.05,2.68,5.44,3.32,Yes,Red,No,1,13,18902.83481,0
2201,268744.0295,550,2.259703602,4,473.24,43,5.64,47.87,13.28,92.19,1.36,5.21,4.23,5.72,Yes,Blue,No,1,11,315535.8507,0
318,108490.1181,550,2.150576681,1,464.48,17.37,6.05,58.57,9.18,96.32,0.75,2.36,5.45,6.64,Yes,Blue,No,2,51,31465.79415,0
2140,135637.489,550,1.052838097,3,570.12,4.84,9.51,72.2,18.78,99.9,0.94,6.05,8.36,5.11,No,Blue,No,1,2,73744.28124,0
6285,257182.233,757.36,1.679646996,3,613.27,23.72,8.47,10.25,11.93,96.15,1.07,6.28,0.58,4.4,No,Red,No,1,18,205286.879,0
6513,269349.8726,1305.82,2.575147827,3,347.3,41.32,4.83,15.75,19.05,98.87,1.93,4.08,7.12,7.9,No,Blue,Yes,1,16,290575.371,0
2737,212646.0281,1241.82,1,3,352.69,23.26,6.07,104.92,8.72,95.16,2.34,7.54,7.92,4.43,No,Blue,Yes,1,7,201159.4678,1
4546,224462.6259,550,1.058823299,3,404.19,45.38,2.95,49.09,15.7,92.05,2.03,4.13,2.1,6.25,No,White,No,1,23,119905.8368,0
1246,137084.6115,576.05,1,2,705.36,33.8,4.28,0.2,6.39,86.57,2.08,4.03,9.94,5.97,No,Blue,No,1,15,37781.33227,0
4754,269316.6177,620.25,2.754721278,3,387.32,5.02,8.27,9.51,20.1,92.78,1.8,3.53,8.66,6.06,No,Red,No,1,14,228638.1768,0
5556,168159.7604,802.52,1,4,631.97,24.02,10,17.9,44.87,99.9,1.31,3.41,8.62,5.8,No,Blue,Yes,1,10,222273.5201,0
243,225726.3565,550,3.921931003,2,1043.79,46.13,7.36,52.41,5.03,91.57,0.98,6.68,4.6,4.56,Yes,Red,Yes,2,32,141694.2808,0
4498,273232.6509,776.93,1,1,472.79,4.44,4.11,34.78,17.72,99.9,1.93,6.11,0.97,3.6,No,Yellow,No,1,6,221796.2177,0
1395,245992.4681,550,1.117693286,1,845.92,24.96,4.66,47.69,25.87,90.98,1.7,1.4,3.76,5.42,No,Red,No,1,6,161706.7611,0
3989,218624.3683,550,3.038980425,3,223.9,30.03,7.24,34.92,12.52,91.52,2.06,4.86,10,10,No,White,No,2,8,178039.5233,0
5733,231368.8227,1765.19,1,1,1019.86,41.8,5.98,7.49,9.99,86.42,2.04,5.84,9.81,7.21,Yes,White,No,1,15,209479.8954,0
1847,145596.9618,550,1.964345957,3,776.89,31.33,6.65,90.6,27.33,87.16,0.99,7.15,7.26,10,No,White,No,1,12,112989.8892,0
5861,111227.1716,607.24,1.722275429,3,516.29,19.77,7.13,42.67,24.79,89.61,1.56,5.25,2.37,3.49,No,Yellow,Yes,1,13,37158.51351,0
4557,178681.0914,706.65,1.225752027,2,346.58,54.6,2.92,36.93,21.73,92.57,1.83,2.3,8.12,4.53,Yes,Green,No,1,17,145196.911,0
1681,256224.6335,550,2.020616461,2,111.62,35.94,6.18,54.93,4.39,89.65,1.3,1.87,6.37,7.9,No,Green,Yes,1,9,178417.543,0
6364,277678.3584,1360.01,1.788751584,2,165.16,37.04,4.89,77.89,10.63,88.16,1.85,3.75,3.83,8.62,No,Blue,No,1,5,205424.9541,1
1951,243314.3963,924.31,1,3,860.94,47.7,7.23,87.08,0.22,91.73,1.27,2.23,2.28,5.88,Yes,White,No,1,13,160488.2633,0
1267,103024.6398,664.28,1.565668607,2,392.33,39.91,8.76,3.48,10.55,96.26,1.24,4.22,2.45,3.97,Yes,White,Yes,1,9,15496.4411,0
3888,214448.7043,909.24,1.269679965,2,432.83,44.97,4.53,29.12,11.26,96.61,1.87,5.59,3.91,4.57,No,Green,Yes,1,5,147047.6584,0
982,244700.5513,562.66,1.369973755,4,1033.7,31.32,7.11,39.75,15.11,98.52,1.37,6.25,6.98,10,No,White,No,1,20,187029.6332,0
4020,266670.5158,804.09,2.954551785,4,149.62,61.74,8.01,93.6,23.34,93.91,1.87,6.04,6.73,5.28,No,Red,No,1,9,200915.5985,0
284,239145.3146,759.92,1,4,237.53,19.42,6.78,72.37,20.92,99.9,2.22,5.45,7.11,7.7,No,White,No,1,7,175073.5731,0
5428,248945.8748,835.7,2.350892168,3,165.64,9.56,2.03,57.16,31.11,92.54,1.97,0.97,1.17,4.13,No,Blue,No,2,25,215361.784,1
3273,245033.0932,693.51,1,3,122.93,35.38,5.48,112.63,11.79,88.96,1.56,2.32,0.72,4.82,Yes,Red,No,1,7,197034.3485,0
5634,161330.406,550,1,3,108.1,72.88,4.81,105.65,10.26,85.66,2.24,2.18,10,5.55,Yes,White,No,2,17,123963.222,0
4410,239850.3375,589.27,2.242666173,4,261.54,13.26,8.42,4.68,12.52,99.13,1.95,7.04,7.79,7.03,No,Green,No,1,0,387208.5521,0
4397,172888.1978,550,1,3,274.41,4.6,6.99,25.09,26.43,95.17,1.55,5.61,6.2,8.1,No,White,No,1,9,112568.3776,0
4935,182179.1184,1244.05,1,3,474.75,23.75,6.48,50.35,10.24,90.92,1.67,3.81,7.93,8.12,Yes,Red,Yes,1,20,58549.71219,0
2049,139107.5279,1159.37,1.269122208,2,136.99,42.57,8.61,12,9.26,99.9,1.25,6.77,6.48,4.9,No,Yellow,No,1,7,149929.4724,0
671,228894.6688,1434.23,2.343958386,2,1098.97,7.96,9.04,61.85,17.43,99.9,1.33,5.21,4.51,5.88,No,White,No,1,7,257906.3357,0
6701,256817.128,1493.56,3.05005447,3,587.84,64.1,3.94,89.79,14.7,93.37,1.86,3.94,5.84,4.82,Yes,Yellow,No,1,19,283925.4965,0
5678,233971.9901,550,1,4,499.04,68.61,7.11,31.79,22.87,86.13,1.49,5.05,10,4.47,No,Green,Yes,1,14,227155.8673,0
3937,189464.8595,806.32,2.393869424,3,213.07,15.42,7.84,23.42,29.33,99.9,1.82,4.08,4.56,6.92,Yes,Red,Yes,2,29,195682.1267,1
2485,190662.9313,747.84,2.384521121,2,692.21,39.76,3.11,114.59,47.56,82.72,1.42,2.29,5.64,6.58,No,Yellow,Yes,1,14,176854.7575,0
3604,237289.5945,1343.88,3.166101289,3,1154.36,5.55,9.5,41.82,17.39,99.9,1.61,7.63,3.54,6.52,No,White,No,1,15,361421.1863,0
2698,246222.2364,911.59,1.495811696,2,289.95,15.46,5.42,69.3,2.57,85.69,1.17,3.4,8.86,9.11,No,White,No,2,28,193927.5632,0
1959,216365.0686,1002.01,1.940273697,4,755.42,19.42,6.24,60.79,5.38,95.83,1.99,1.75,5.28,4.98,No,Blue,No,1,11,242087.3562,0
4193,148202.4455,550,1,2,713.41,41.03,8.82,12.94,11.16,95.58,1.71,2.33,10,5.53,No,Yellow,No,1,17,43526.97574,0
5746,261773.5907,1030.86,1.281494767,5,64.67,42.58,10,36.79,39.14,87.08,2.11,6.41,7.28,0.93,No,White,Yes,2,22,257113.1606,0
1961,278170.9111,1334.59,1.813780622,3,494.99,32.99,4.99,67.87,26.08,86.65,1.74,6.08,2.59,3.35,Yes,Blue,No,2,21,292967.7695,0
265,128433.5857,786.48,3.488486693,1,247.96,34.43,7.33,58.07,26.77,99.15,1.26,0.18,5.69,3.67,Yes,Yellow,No,1,9,61155.96443,0
4992,240135.3011,1069.19,1.812709571,3,397.15,1.27,8.23,26.75,20.25,94.8,2.28,6.08,3.68,6.34,Yes,Green,Yes,1,18,239953.26,0
3555,196840.4434,1069.43,2.526355733,2,624.27,7.39,7.9,54.85,2.94,97.53,1.68,2.91,6.86,5.39,Yes,Blue,No,1,1,225277.9732,0
3149,129802.1433,550,1.475411497,1,571.2,14.35,8.28,56.73,37.18,95.55,2.18,6.42,6.22,5.75,No,Blue,No,1,9,54711.92739,0
1207,258971.5503,652.06,1.369922378,2,468.82,14.55,7.35,76.46,26.9,97.01,0.99,6.45,4.54,4.49,Yes,Yellow,Yes,1,14,186561.027,0
6301,214698.3418,1005.09,2.620519967,4,570.17,35.63,8.9,10.08,19.38,99.9,1.78,4.64,6.5,3.07,No,White,Yes,1,12,204595.6187,0
3843,113076.6212,550,1,2,111.19,17.01,1.26,26.61,27.84,95.61,2.15,3.17,2.13,5.25,No,Red,Yes,1,18,32747.97897,0
6687,190929.7288,1401.07,1.149113796,3,861.91,6.95,7.3,19.51,13.62,96.16,1.15,5.91,0.82,7.61,No,Blue,Yes,1,24,140428.5889,1
4477,269500.4758,550,3.318284837,4,720.95,35.34,10,45.91,10.92,99.9,1.15,8.28,6.1,6.06,No,Yellow,No,1,9,286119.1079,0
3614,173320.6069,626.39,1,4,304.24,28.35,7.64,41.71,13.39,98.33,2.08,5.32,2.11,3.9,No,Yellow,No,1,24,151235.7966,0
1387,175046.6052,550,3.258431022,3,516.81,47.88,6.44,90.79,5.09,88.33,1.35,5.57,8.66,6.41,No,Yellow,No,1,11,161310.6784,0
3256,177051.9426,657.23,2.184482264,2,782.02,17.02,3.5,94,27.36,96.85,1.76,1.24,2.52,3.27,Yes,Red,No,1,-3,189534.766,0
5098,107153.8993,550,3.892309746,1,714.65,32.36,3.52,14.14,17.34,95.25,1.88,5.12,5.66,7.35,Yes,White,No,2,18,36617.13028,0
6691,157110.9364,636.04,1.032646517,3,150.3,20.56,5.68,91.23,17.58,99.9,1.99,5.25,10,10,Yes,Red,No,1,27,70039.72972,0
